"Spisová značka","Oblast práva","Věc","Forma zjištění","Datum vydání","Právní věty",""
"6229/2019/VOP","Veřejné opatrovnictví","ostatní","Zpráva o šetření - § 17","14.02.2020","",""
"6228/2019/VOP","Daně a správa daní","daň z příjmů","Odložení","22.10.2019","Mezi rozhodné příjmy manželky ve smyslu §35ba odst. 1 písm. b) zákona o daních z příjmů patří i nabytí nemovitosti darem, které je od daně z příjmů osvobozeno podle § 10 odst. 3 písm. c) zákona o daních z příjmů.",""
"6074/2019/VOP","Místní poplatky a řízení o nich","poplatek za komunální odpad","Zpráva o šetření - § 18","06.01.2020","",""
"5973/2019/VOP","Diskriminace - práce a zaměstnání","podmínky v zaměstnání","Odložení","27.01.2020","I. Při odměňování zaměstnanců musí zaměstnavatel dodržet zákaz diskriminace. Za odměňování se považuje i poskytování zaměstnaneckých benefitů, které zaměstnavatel svým zaměstnancům přiznává dobrovolně nad rámec povinností uložených zákoníkem práce.  II. Při posuzování, zda došlo k porušení zákazu diskriminace, je nutné v některých případech zkoumat povahu poskytovaného benefitu (zda se jedná o ocenění výkonu práce, nebo je benefit vázán na statut zaměstnance, zda se jedná o finanční plnění, nebo např. možnost vzdělávání) a podmínky pro přiznání benefitu (kdo a za jakých podmínek má na benefit nárok).  III. Podezřelý z pohledu zákazu přímé diskriminace je postup zaměstnavatele, který vyloučí z možnosti čerpat benefit zaměstnance na mateřské nebo rodičovské dovolené. Tito zaměstnanci jsou znevýhodněni z důvodu těhotenství/rodičovství ve srovnání se zaměstnanci, kteří se nacházejí ve srovnatelné situaci, tedy se zaměstnanci, kteří aktuálně rovněž pro zaměstnavatele práci nevykonávají, avšak z jiného důvodu (např. dlouhodobě nemocní zaměstnanci, zaměstnanci čerpající neplacené volno, zaměstnanci pečující o člena rodině v režimu dlouhodobého ošetřovného).  IV. Zaměstnavatel zásadně může stanovit, že na benefity, které mají úzkou vazbu na výkon práce (např. služební automobil), případně mají povahu odměny za vykonanou práci (vánoční odměny) nebo slouží k hmotnému zabezpečení v souvislosti s výkonem práce (stravenky), mají nárok pouze zaměstnanci, kteří pro něj práci reálně vykonávají. I když tato zdánlivě neutrální praxe znevýhodňuje zaměstnance čerpající mateřskou nebo rodičovskou dovolenou, bude zpravidla objektivně odůvodněna legitimním cílem, přičemž prostředky k jeho dosažení lze považovat za přiměřené a nezbytné.  V. Za diskriminační by bylo možné považovat vyloučení zaměstnanců na mateřské nebo rodičovské dovolené z čerpání benefitů v případě, kdy by toto vyloučení mohlo mít negativní dopad na další působení zaměstnance u zaměstnavatele po návratu z MD/RD (např. benefit v podobě vzdělávání).  VI. Zaměstnavatel, který poskytuje benefit v podobě odměny za práci vykonanou za určitou dobu (např. vánoční prémie jako odměna za práci vykonanou v daném roce), poruší zákaz diskriminace, pokud tento benefit odmítne přiznat zaměstnanci, který v době přiznání benefitu čerpá mateřskou nebo rodičovskou dovolenou, aniž by zohlednil práci, kterou tento zaměstnanec v rozhodném období vykonal před nástupem na mateřskou/rodičovskou dovolenou.  VII. Odborová organizace se může dopustit diskriminace, pokud z možnosti získat výhody, které poskytuje svým členům, vyloučí členy čerpající MD/RD. V konkrétním případě je pro posouzení jednání odborové organizace vždy nutné zkoumat, jakým způsobem jsou nastaveny podmínky pro získání dané výhody a zda členové, kterým na získání výhody vznikne nárok, jsou ve srovnatelném postavení jako členové čerpající MD/RD.",""
"5944/2019/VOP","Výkon rozhodnutí","výkon odstranění stavby","Zpráva o šetření - § 18","27.11.2019","I. Náhradní lhůtu k dobrovolnému splnění povinnosti odstranit stavbu, kterou povinnému stavební úřad uložil pravomocným a vykonatelným rozhodnutím, může stavební úřad stanovit jen formou usnesení o vydání exekuční výzvy.  Exekuční výzvu lze vydat jen za předpokladu, že tím nebude vážně ohrožen účel exekuce (§ 109 odst. 1 správního řádu).      II. Náhradní lhůtu k dobrovolnému splnění pravomocné a vykonatelné povinnosti odstranit stavbu nelze stanovit usnesením o prodloužení lhůty k provedení úkonu, neboť dané usnesení lze vydat jen v probíhajícím správním řízení (§ 39 odst. 2 správního řádu).     ",""
"5876/2019/VOP","Dávky státní sociální podpory","příspěvek na bydlení","Zpráva o šetření - § 18","06.04.2020","I. Pokud je podána nová žádost o příspěvek na bydlení z důvodu, že se žadatel přestěhoval, a předchozí řízení o dávce v původním bydlišti není ukončeno, nemusí úřad práce čekat na skončení řízení o prvé žádosti. Řízení na základě prvé žádosti o dávku z předchozího bydliště není řízení o předběžné otázce a úřad práce tak nemá důvod k přerušení řízení o příspěvku na bydlení na základě další žádosti v novém bydlišti žadatele.   II. V případě, že stavební úřad na základě součinnosti s úřadem práce vyzývá vlastníka stavby k předložení dokumentace stavby za účelem zjištění existence zkolaudované bytové jednotky ve stavbě nebo počtu bytových jednotek, měl by vlastníku stavby dát přiměřenou lhůtu k doložení dokumentace. Šestiměsíční lhůta není adekvátní s ohledem na účel dávky na bydlení. Jako adekvátní lhůta se jeví lhůta tříměsíční nebo ještě kratší s možností jejího prodloužení.",""
"5778/2019/VOP","Činnost orgánů sociálně-právní ochrany dětí (OSPOD)","postup OSPOD jako kolizního opatrovníka","Zpráva o šetření - § 18","11.05.2020","",""
"5700/2019/VOP","Přestupky v oblasti dopravy","přestupky v oblasti dopravy","Zpráva o šetření - § 18","13.11.2019","",""
"5689/2019/VOP","Ovzduší, chemické látky, odpady a obaly","znečištění ovzduší","Zpráva o šetření - § 18","11.02.2020","",""
"5663/2019/VOP","Řízení o odstranění staveb","řízení o dodatečném povolení stavby","Zpráva o šetření - § 18","27.11.2019","",""
"5663/2019/VOP","Řízení o odstranění staveb","řízení o dodatečném povolení stavby, řízení o odstranění stavby","Závěrečné stanovisko - § 19","04.03.2020","I. Zjistí-li stavební úřad, že vlastník užívá zemědělský pozemek (zahradu) jako kemp pro veřejnost o výměře nad 300 m2 bez povolení nebo jiného opatření stavebního úřadu, jde o jednání v rozporu se stavebním zákonem. Stavební úřad je povinen vyzvat vlastníka k zjednání nápravy a zahájit vůči němu přestupkové řízení (§ 171 odst. 3 stavebního zákona a § 178 odst. 1 písm. a) stavebního zákona).    II. Užívání zemědělského pozemku (zahrady) o výměře nad 300 m2 jako kempu pro veřejnost vyžaduje územní projednání (§ 96 odst. 2 písm. d) a § 80 odst. 2 písm. e) stavebního zákona). Takový způsob užívání pozemku nelze projednat v řízení o odstranění stavby (§ 129 odst. 1 písm. b) ve spojení s odst. 7 stavebního zákona).",""
"5660/2019/VOP","Daně a správa daní","DPH, dvojí zdanění","Odložení","10.10.2019","Koupě vozidla na území České republiky, u níž nebyl žádné straně v době její realizace znám záměr o následném přesunu do jiného členského státu a u níž následovala registrace a pojištění vozidla v ČR a nabyvatel vozidla jej až následně po dvou měsících fyzicky přesunul do jiného členského státu a nechal tam zaregistrovat, je z hlediska DPH dodáním zboží v České republice. Nejedná se o dodání zboží do jiného členského státu, respektive pořízení z jiného členského státu ve smyslu § 19 zákona o dani z přidané hodnoty. ",""
"5653/2019/VOP","Činnost Vězeňské služby ČR","zdravotní péče","Závěrečné stanovisko - § 19","09.12.2019","",""
"5653/2019/VOP","Činnost Vězeňské služby ČR","zdravotní péče","Zpráva o šetření - § 18","22.10.2019","",""
"5625/2019/VOP","Dozor a kontrola státu nad územní samosprávou, její ochrana, územní členění","ostatní","Odložení","10.10.2019","Podle § 31 zákona o obcích platilo a platí, že „každé popisné číslo budovy musí být v rámci části obce jedinečné“. Avšak až novela č. 227/2009 Sb., s účinností od 1. 7. 2010, výslovně stanovila, že „čísla popisná, která byla přidělena, nelze užívat opakovaně“. Pokud před 1. 7. 2010 obecní úřad přidělil uvolněné popisné číslo nové budově, nepostupoval v rozporu se zákonem.",""
"5604/2019/VOP","Veřejné opatrovnictví","osoba opatrovníka","Zpráva o šetření - § 18","07.07.2020","",""
"5570/2019/VOP","Služební poměry","ostatní","Zpráva o šetření - § 18","16.03.2020","Správní orgány i služební orgány mají právo na změnu právního názoru, resp. své správní praxe a to i bez změny právní úpravy. Taková změna by však měla působit především do budoucna. V opačném případě jde o narušení legitimního očekávání účastníka řízení a je v rozporu s předvídatelností práva, jakožto jedním ze základních prvků principu právní jistoty, bez jehož respektování si nelze demokratický právní stát představit.",""
"5570/2019/VOP","Služební poměry","ostatní","Závěrečné stanovisko - § 19","25.06.2020","",""
"5560/2019/VOP","Veřejné opatrovnictví","osoba opatrovníka","Zpráva o šetření - § 17","14.04.2020","Míra vyžadované intervence ze strany opatrovníka se liší podle individuálních schopností opatrovance i jeho konkrétní situace. Opatrovník by měl opatrovanci poskytovat podporu zpravidla v oblastech, ve kterých není schopen sám jednat. Pokud je opatrovanec schopen si sám na internetu najít nabídky bydlení, kontaktovat pronajímatele a vyjednat si s nimi podmínky, je to primárně on sám, kdo by se měl o zajištění svého bydlení postarat.  ",""
"5528/2019/VOP","Činnost Policie ČR - ostatní","šetření ostatních přestupků","Zpráva o šetření - § 17","30.10.2019","Rozhodné kritérium odlišující bivakování (přenocování) od táboření spočívá ve zbudování přístřešku, a to bez ohledu na počet osob na místě, denní dobu a délku jejich pobytu.",""
"5493/2019/VOP","Diskriminace - vzdělávání","podmínky vzdělávání","Odložení","01.06.2020","I. Vzdělávání je službou určenou veřejnosti ve smyslu § 3 odst. 2 antidiskriminačního zákona, na niž dopadá povinnost přijímat přiměřená opatření.  II. Okruh přiměřených opatření dle antidiskriminačního zákona v sobě zahrnuje i podpůrná opatření pro žáky se zdravotním postižením dle § 16 školského zákona. Jestliže tedy škola v rozporu se školským zákonem (typicky bezdůvodným nerespektováním doporučení školského poradenského zařízení) nepřijme podpůrné opatření pro žáka se zdravotním postižením, může se dopustit nepřímé diskriminace v podobě nepřijetí přiměřených opatření (§ 3 odst. 2 antidiskriminačního zákona).  III. Diskriminací může být nejenom neposkytování podpůrných opatření, ale rovněž jejich poskytování v nedostatečné kvalitě. Pokud by škola poskytovala podpůrná opatření ve zcela neadekvátní podobě a nikterak nereagovala na výzvy ke zlepšení, mohlo by v důsledku jít o obdobnou situaci, jako by podpůrná opatření neposkytovala vůbec.  IV. Intenzita potenciálně obtěžujícího chování se zvyšuje, pokud se ho dopouští učitel vůči žákovi, protože vystupuje z mocensky nadřazené pozice a lze u něj předpokládat určitou autoritu.",""
"5284/2019/VOP","Činnost Vězeňské služby ČR","kázeňský trest / odměna","Zpráva o šetření - § 18","20.02.2020","",""
"5284/2019/VOP","Činnost Vězeňské služby ČR","kázeňský trest / odměna","Závěrečné stanovisko - § 19","30.06.2020","",""
"5148/2019/VOP","Průtahy v soudním řízení","průtahy v řízení - ostatní","Zpráva o šetření - § 18","21.04.2020","",""
"5147/2019/VOP","Průtahy v soudním řízení","průtahy v řízení - ostatní","Zpráva o šetření - § 18","21.04.2020","",""
"5146/2019/VOP","Průtahy v soudním řízení","průtahy v řízení - ostatní","Zpráva o šetření - § 18","21.04.2020","",""
